VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster,View Count,Like Count,Comment Count,Channel Title,Channel_Weight
w01-9uhP6qk,0.0,0.01,0.0,10.88,0.0,0.0,37.15,8.11,43.85,1,436,13,1,Raff De Leon,0.0010450609457653113
w0J2LGBV6-I,6.28,1.79,0.0,22.08,4.16,0.0,10.59,30.92,24.18,2,2045,33,10,Мемоарите на една мечта,0.0006967072971768742
W0XKBx8rEHI,0.0,0.61,0.0,18.29,0.0,0.02,32.72,7.24,41.12,1,304919,6120,223,Chuckie's Kitchen,0.0008360487566122491
W2FP5LKON34,0.89,2.59,0.0,16.36,0.99,9.61,11.09,11.45,47.02,5,8709,519,81,The Garcia Family,0.00011000641534371697
W35rxGezBgQ,0.26,6.01,0.0,35.51,7.07,0.0,7.18,12.27,31.7,7,1923,180,26,Adventure Faktory,0.0008360487566122491
w3XLgvayYFs,0.01,5.07,0.06,21.46,3.32,0.0,24.52,6.9,38.66,1,193748,10669,944,Dodo Explorers,0.00026126523644132783
w46Fslwmujo,0.0,9.1,0.0,9.52,0.18,0.0,16.91,3.12,61.17,1,2545124,40370,3214,Strictly Dumpling,0.0008360487566122491
W6KsUlgANow,1.15,10.55,3.67,16.98,0.61,0.0,20.38,14.99,31.67,0,53714,2184,92,Music Game News,0.00011000641534371697
W6OXvnrq5fA,0.0,0.38,0.02,10.5,0.0,2.75,21.78,31.38,33.19,2,252330,10690,450,Scenic Fights,0.0013934145943537484
W7D9L49Ez-U,0.0,6.06,0.38,16.86,6.51,0.44,24.43,15.6,29.72,1,387060,12565,301,TriFate Geo,8.19655643737499e-05
W7I3qmSf9NI,0.0,2.74,0.06,17.83,4.07,0.14,25.99,10.79,38.38,1,97360,4076,209,The Endless Adventure,0.0008360487566122491
W7Uxblb_Sxg,1.96,8.34,0.03,19.87,0.29,0.0,10.64,23.56,35.31,0,26600,964,90,Adam and Jane's Lifestyle,8.708841214710928e-05
w7W6NcwvFic,1.33,1.18,3.1,30.74,0.0,0.0,16.13,20.56,26.96,7,109492,4200,810,Robyn Kimberly,0.0010450609457653113
w8GdDhQDvsM,0.0,1.46,0.0,15.2,5.99,9.19,30.26,6.06,31.84,5,23912,1197,59,RegenerationNationTV,0.0006967072971768742
W9a4a1WXAuM,2.9,9.59,0.0,27.92,0.15,0.09,12.04,15.73,31.58,7,14429,219,43,FoodieMommaPH,0.00041802437830612457
W9OyX8n8cRk,0.79,0.75,0.0,11.81,1.07,0.01,21.02,20.63,43.92,1,36045,1604,155,Ken Abroad,0.00015482384381708316
wa9nSRu9bA0,1.76,4.68,0.53,19.51,11.0,0.01,15.07,19.91,27.53,7,1099453,31034,2540,Pero Like,0.0013934145943537484
wax0d3rTiJU,0.0,12.67,0.0,24.33,2.68,0.16,16.57,0.0,43.59,0,33118,555,48,Kinéaste | Sport & Performance,0.0013934145943537484
wB-NrGhIW6s,2.32,3.81,0.08,16.42,19.31,0.0,36.07,8.25,13.74,3,42445,2594,165,Pinoy Planet,4.644715314512495e-05
Wb74SmzO0Hg,0.0,0.07,0.21,1.07,0.37,0.0,90.62,0.13,7.53,6,2584,21,0,The McEastlands In the Philippines,0.0020901218915306227
WbRUmB0fkX4,7.36,3.46,0.0,11.86,6.67,6.35,18.44,6.18,39.68,8,41464,1682,139,Joel Friend,0.0005225304728826557
wDqIA8MYXYI,1.17,3.93,0.0,22.5,6.12,0.45,19.15,0.84,45.84,1,45307,2703,222,Dodo Explorers,0.00026126523644132783
wDtgH88TpmU,2.29,5.15,0.62,5.74,2.23,14.53,40.14,11.58,17.72,5,725,51,20,The Love Train Nation,0.0001441463373469395
wfch_D1JahM,1.05,1.84,0.0,2.49,70.87,0.53,17.42,1.1,4.7,3,44835,2692,136,Olivia Ortiz,0.0005971776832944636
Wfjhdicwj60,0.0,1.75,0.7,19.34,11.71,0.0,18.63,12.46,35.41,1,135225,6378,2562,Chasing Kimberly,0.0005225304728826557
wFX5hVPDxg0,0.16,4.79,2.5,15.41,1.5,0.0,33.1,6.44,36.1,1,597426,16442,586,VI3ION,0.00019905922776482118
wGyBP1ec3Kc,1.3,4.8,0.0,64.17,10.23,0.05,0.4,3.44,15.61,7,471358,3764,324,BlueWorldTV,0.0013934145943537484
wHGYz9tbcEw,0.0,2.87,0.82,18.25,0.19,0.02,9.59,28.93,39.33,2,637946,22378,1997,emmymade,0.0005971776832944636
WHhcj9jYdL8,0.33,2.19,0.0,8.34,2.4,0.0,49.91,2.18,34.65,6,21724,1421,87,The Commodity,8.038930352040857e-05
whOVT9bgvg8,0.0,0.0,0.0,0.04,0.0,0.0,70.63,0.0,29.33,6,244863,8997,98,Jeanelleats,0.0005971776832944636
WhqgEcnZCFI,5.61,8.32,0.0,12.33,0.57,7.05,13.75,10.3,42.07,5,4782,352,27,The Garcia Family,0.00011000641534371697
whQvP6x2yMY,4.04,4.27,0.0,17.03,0.07,0.0,25.08,10.83,38.68,1,1443,57,15,Moto Touro,0.0013934145943537484
WI-TR7Ljjas,1.19,7.5,0.0,20.35,8.89,4.46,11.71,25.71,20.19,2,1424137,36672,1681,BuzzFeed UK,0.00046447153145124943
wira2nf3DFo,0.48,8.76,0.71,19.11,5.42,9.92,34.93,4.24,16.43,5,25614,1757,191,Pinoy Planet,4.644715314512495e-05
WiwntzOmL8s,0.1,0.15,0.0,17.94,0.11,0.23,35.97,7.49,38.01,1,1124,40,33,Marylou Chanel,0.0013934145943537484
wJ-wYa4aBgQ,2.99,15.3,0.0,25.26,0.17,0.0,5.67,11.39,39.22,0,17936,900,90,Adam and Jane's Lifestyle,8.708841214710928e-05
WJSH3isKuoA,0.0,5.92,0.0,17.14,0.19,0.0,25.32,2.39,49.04,1,47499,1997,80,Waleska Herrera,2.7501603835929242e-05
wkBlLJhebX0,0.04,19.87,0.0,20.84,4.28,0.0,8.25,17.97,28.75,0,336361,11842,506,BuzzFeed UK,0.00046447153145124943
wKlxcr-judM,0.0,10.27,1.29,13.57,1.2,0.04,25.76,4.46,43.41,1,38265,2625,802,Dodo Explorers,0.00026126523644132783
WkRpk4bxUIc,0.16,1.42,0.0,35.66,0.06,0.02,22.84,24.03,15.81,7,5324,566,86,Pinoy Planet,4.644715314512495e-05
WL89vihzjjk,0.85,5.76,0.0,13.09,11.59,0.0,28.43,11.78,28.5,1,428465,17478,742,Pinoy Planet,4.644715314512495e-05
WlMShsAZcvc,0.0,2.06,0.0,22.24,1.22,0.1,14.63,5.92,53.83,1,121617,3995,146,Waleska Herrera,2.7501603835929242e-05
WlQiV5soGOs,0.08,1.16,0.0,18.74,9.06,13.09,21.81,9.51,26.55,5,16035,897,88,TriFate Geo,8.19655643737499e-05
wmCecoqwQXo,0.0,1.13,1.72,7.1,0.38,0.0,54.08,0.71,34.88,6,9518,63,8,DR. ORFLI,0.0010450609457653113
WMR0eH5kM6I,1.55,7.82,0.0,16.66,0.0,0.0,15.97,0.39,57.61,1,123416,824,0,My Filipino Recipes,0.0020901218915306227
wMRE70ewaRc,3.28,2.25,0.0,22.39,1.49,0.0,32.74,3.56,34.29,1,393586,10640,886,Travel Escapes,0.0005225304728826557
wmSnxN-zQsw,5.32,3.11,0.0,20.21,3.53,0.0,18.4,21.63,27.8,8,14764,914,107,Craig in Asia,0.0010450609457653113
Wmthd_tHH8E,0.0,0.97,0.0,0.0,0.0,0.0,75.6,0.0,23.43,6,161161,0,542,THE BOYZ,0.0013934145943537484
wMW_Uk9M5CY,0.02,0.25,1.73,10.27,1.3,0.01,27.25,7.22,51.95,1,140648,4064,488,THE SKWAD,0.0005971776832944636
Wnc6d-DQpNs,0.05,0.21,0.0,33.39,9.17,0.0,6.93,30.6,19.65,2,50577,3106,343,Delightful Travellers,0.0010450609457653113
WnlivU5fYD4,0.17,1.84,0.0,23.81,2.67,0.0,9.31,18.2,44.0,1,336,21,8,ProjectHanna,0.0013934145943537484
wNoxFXUQqWc,0.05,0.14,0.0,16.21,0.15,0.0,36.39,6.34,40.72,1,1903891,79790,1976,NOW UNITED,0.0002458966931212497
wOI7I95Oxsg,4.74,2.83,0.0,30.62,0.0,0.0,22.84,9.49,29.48,7,105401,5756,1194,KIM n LEE,0.0001441463373469395
WPimWiBBrVY,0.0,0.0,0.0,4.53,0.0,0.0,63.87,3.82,27.78,6,22636,981,36,Jeanelleats,0.0005971776832944636
WPW7Xsq8toA,0.0,0.32,0.0,4.84,0.0,0.0,80.43,0.02,14.39,6,315544,23499,987,Juwonee,0.0020901218915306227
WQdhMmfJAoc,0.07,0.11,0.06,19.96,2.57,0.18,25.82,12.87,38.36,1,63924,2372,62,Waleska Herrera,2.7501603835929242e-05
WQIFuWt7KzM,1.94,1.68,0.0,26.12,0.55,0.0,19.23,17.78,32.7,7,206474,13706,1363,The Juicy Vlog,0.00019001108104823843
wQlPhqtjSVg,0.08,7.33,0.02,19.81,0.23,0.0,11.42,16.01,45.1,1,62054,1412,242,Ingrid in Bosnia,0.0006967072971768742
Wr1PRU25AE0,0.0,0.01,0.0,11.33,0.01,0.0,54.11,1.88,32.66,6,87177,1633,135,GagaOOLala - Find YourStory,0.0008360487566122491
WRHwXkLghAQ,1.49,9.51,0.61,27.81,2.67,9.24,12.39,7.89,28.39,5,10549,657,40,Pinoy Planet,4.644715314512495e-05
WS8eYFLtwSY,0.0,0.24,0.0,27.49,5.96,0.09,30.42,17.25,18.55,7,3597,257,26,Reação Imediata,0.00027868291887074966
Wst4kBA9jnQ,0.11,29.14,0.0,7.28,0.2,0.0,14.25,9.27,39.75,0,100,3,0,Gospel Light Filipino,0.0020901218915306227
wTJoFjIF5pY,3.69,1.45,0.0,34.55,3.11,0.0,13.64,11.57,31.99,7,62505,2613,313,Lost and Jetlagged,0.0010450609457653113
wtutMF2rOqA,0.0,4.98,0.0,29.4,0.0,0.0,0.45,44.32,20.85,2,107,4,1,The Kit Chronicles,0.0013934145943537484
WUfRtk1F6ps,0.84,24.13,0.49,17.35,3.42,0.02,8.22,7.6,37.93,0,46255,1316,182,Chris Kusinero Adventures,0.0010450609457653113
wv0dKyMn3HA,0.0,2.55,0.0,32.0,0.0,5.02,7.14,1.52,51.77,1,717626,34348,2853,emmymade,0.0005971776832944636
Wv7VO6sSQzM,0.01,0.1,0.0,7.63,0.02,0.0,70.92,1.64,19.68,6,5504381,204276,2650,Tom from Texas,0.0020901218915306227
wvo4y6_Hy34,0.99,5.74,2.65,14.88,0.07,0.0,14.06,31.95,29.66,2,745984,41522,4743,RELL 🕺🏽,0.0005225304728826557
wwhHD6xa70I,7.43,4.03,0.06,22.89,0.31,0.19,17.28,8.18,39.63,8,184208,6163,246,Waleska Herrera,2.7501603835929242e-05
WWyZKkQecY4,0.02,3.44,0.13,23.4,0.86,0.0,14.65,15.06,42.44,1,160958,7703,942,Always Be Changing,0.0002985888416472318
Wx-K2LXrxxM,0.0,2.06,0.27,18.28,3.68,0.32,13.87,9.3,52.22,1,1480,92,43,2 Wheels Across,0.0013934145943537484
WX0t13vt5h4,0.0,2.15,0.07,20.67,0.03,5.66,38.45,8.83,24.14,6,409197,15103,531,Pinoy Planet,4.644715314512495e-05
wx3uGOoKJRc,0.1,4.96,5.17,14.74,0.0,0.0,20.48,15.81,38.74,1,6152,94,16,Edgar S,0.0020901218915306227
WxudL917gkA,0.0,0.0,0.82,25.73,0.04,0.0,23.51,24.57,25.33,2,1959230,47788,3629,Insider,0.0020901218915306227
wYK5yOptg9g,4.93,2.67,0.06,22.73,2.0,0.02,23.42,9.33,34.84,1,254847,9818,1719,Shev and Dev,0.0005225304728826557
Wyu0OCB7dn4,1.4,8.37,0.29,8.45,0.84,0.0,40.65,0.27,39.73,6,102793,2050,220,Bags Packed Family,0.00046447153145124943
X3csbe8mZnY,0.0,0.93,0.03,11.75,0.04,0.0,43.97,0.11,43.17,6,18581,244,86,Washington Post,0.0013934145943537484
x4DXHbnG8Sw,0.03,4.69,0.0,43.26,0.0,0.0,13.27,1.45,37.3,7,6462,411,24,Samantha Lisa,0.0006967072971768742
x5BPfHKtH_Q,0.35,36.08,0.0,11.72,2.21,1.13,11.68,4.93,31.9,0,1519,95,11,Addie Reacts,0.0010450609457653113
X6qNGn3QxTU,0.56,11.81,1.32,9.46,10.09,0.01,24.79,12.87,29.09,0,147574,6018,721,tryNsomethingnew,0.00038002216209647685
x7djETYCzu0,0.01,0.1,0.0,14.73,39.2,0.0,9.23,13.24,23.49,3,66828,744,109,Philippine Women,0.0010450609457653113
X7QwsSVQKD4,0.06,2.82,0.33,29.61,4.98,0.0,23.38,10.52,28.3,7,1170,96,17,Meet Jacky,0.0010450609457653113
X8n3RZ9pjYo,1.64,12.17,0.0,21.1,12.34,0.0,4.18,23.92,24.65,0,16067,470,136,iwantmylauren,0.0020901218915306227
x94mHa0LeRs,0.05,0.66,0.02,13.78,0.0,0.0,26.19,32.66,26.64,2,121845,5507,597,Waleska Herrera,2.7501603835929242e-05
