Video ID,View Count,Like Count,Comment Count
yOumiuaxVPI,58382,4036,601
ku77ybqDQNI,112883,5370,711
2TwvyjOHqJs,165396,9023,832
rqf4ELnar5g,50954,4115,369
0NnRy_R9tSc,64216,4771,539
qfBGJgTQ_Aw,38730,3515,445
r8Lyth1Azt8,53869,3629,231
B8PK6Kwk1Kg,45202,3571,292
u7Zd8h2dnpQ,85902,5462,496
GN5YUeOhzGs,44494,4330,534
RwfMXlWZYgA,69629,5461,953
fTBnwGXW_4w,55907,4308,477
DxQP1d9289Q,44634,3475,267
-rHozAIzWTo,135046,6822,530
bpzo3QjdL3c,48741,3344,369
QNFIdUVsrQk,84901,4938,592
fYdMnYfG_6g,82957,4321,310
GAtguB22yjk,81256,5157,524
jyXKH_ZhwlY,134674,6197,653
gn5uCISA6_0,46560,3377,384
2arvb_skG6w,55379,5186,419
7okkgmjViGw,297979,15223,1195
_8opfCI7T9Y,52344,3267,270
ySJr2HQG9nw,44068,2758,219
hGxIrlY35JY,265590,13126,845
Y4BZ9PyuoS8,67330,4081,507
DT6yZSpNXSc,142869,6212,614
Xle0bBqIHuQ,44281,2789,213
N3ToDeY2TMo,127299,6937,671
o2vcvO-3_AQ,68007,3916,294
rtkvgREwx2M,73743,4840,300
WQ9LhMGfK-8,82833,5381,548
HBV51mLZHs8,47860,2187,160
