Video Id,Channel Id
3UHLwAKF1Is,UCryJ4vhASeu7uhXRPOL3WhA
3UI99FyrUc4,UCP1TtgcChvhLL5aqxe45CPQ
3WB_7DYb8zA,UC6tTTsFKifxEhOIMI2HtLeQ
3WQWPlvNZIo,UC7EQzceJQbnNNOwLfFc-WhA
3Wh8qKGc5K0,UCoWQLZoPwn3mJ-oiPrwDpbA
3Wn0qDg4uDQ,UCmUaeYKjQ7n0aMa1KjDHlQg
3ZgHEAM_-Fw,UCDSd4U2FQAB4XWgHMjoRrzg
3_ms_C3ElA0,UC1lSkVg0HUiMxW3l-WRICGw
3aoRaEgunEQ,UChb9JivvMmUqmD9QSUQUIJA
3b6lSIIqnUs,UCNZyLULUQBp5e9Q1cKtvk6Q
3bZp6Tauo5c,UCDSd4U2FQAB4XWgHMjoRrzg
3eWmsTsgWkQ,UC9jKcnqQ1TziJRAkSXbNISA
3fPIsGv3eik,UCRzBNJTsBe2rq6pkyXeaj1A
3gXTOa6Zskw,UCBINYCmwE29fBXCpUI8DgTA
3hc7N_uOHdw,UCpko_-a4wgz2u_DgDgd9fqA
3kftPeWMvLk,UCatYGXWCXRt_0XLLKv1hkUw
3ksZkJHTlOc,UCn4HljYMUfp26ylZ8w5dttg
3l2X_pIMB0Q,UC_nGEYgqzTuyFbHCZELMC2w
3lO1tIs9IJc,UCa4FKY8frKf-1dfGQQiqJ8Q
3lgwd5aEilU,UCryJ4vhASeu7uhXRPOL3WhA
3n1nspLgfd4,UColnnUYyz7CWjhzpF1kASnw
3oTOIi8ysLo,UC9DwgmJc-uKnxGavukOy_6w
3rCmwCu5JOs,UCfot-hD35IfUqXC9JXcVatg
3rKffuFJYNk,UCbDelWG0lH_xzQjnH-bNB_w
3rRNKYvoDsQ,UCZ1OXjyMDPokR8xOJqCv05g
3sNSRgq-4l8,UCV3Nm3T-XAgVhKH9jT0ViRg
3sVrbsvXWQ0,UCwmjQLxUeYS2qxpNH8cF0Rw
3tdQO7zvmcA,UCqCI4i-mZ4Cu6Kr8emMaf1A
3uEH8rj5cw8,UCqlthGjbLIci7i3x2gk8P4Q
3uOf_FMbW54,UCjpmc-iZPgIlu-MIurDRlYA
3uSIf529AOg,UCCgVh36x3hbuRnHMpwl443Q
3vouclvykqE,UCzuqE7-t13O4NIDYJfakrhw
3wP6uF6KEU4,UCO5Jeark1e_JP36mY3ua19g
3x5rJk4R4gE,UC81LFswmKyrfySyFru_CWIQ
3xy9jS1KwvY,UC3vKq6F593xdQw-uynYD2eA
3y0EwY-WGBQ,UCAqEoRfgMCtErK0qsL1cCtw
3zq5EhLuE2g,UCryJ4vhASeu7uhXRPOL3WhA
401ZvQ11euA,UCgFP46yVT-GG4o1TgXn-04Q
41WyfyapTw0,UC4S7Ca53tVPuNQhAJKxzlzw
41nyoe4buzw,UCdkq517IaeUcnG5CIiFX9RA
42sibaGVjY8,UCLNoXf8gq6vhwsrYp-l0J-Q
42t6Jk4JXrA,UCNMCLJlFSqiUb1EnXII3zhQ
43SNx2y2Zt0,UCO5Jeark1e_JP36mY3ua19g
45MuxKYi-t0,UCPAz3hWHiBC-c1x4K0-atsg
45j2p4FEI_o,UCQQyW9Ki62OmGzHedws7xlQ
45nukMR5A_c,UCltSy4R9FvrFsVleCLjyr2g
479RSxJ3Ml4,UCHEf6T_gVq4tlW5i91ESiWg
47BQVWmfi9U,UCryJ4vhASeu7uhXRPOL3WhA
49-rTbR5bss,UCqCI4i-mZ4Cu6Kr8emMaf1A
4ABk0y_RA9s,UCJogODH1hfW7L7PxiWRiTJw
4AKZqHFjidg,UCTfHKQ9fbUEiStUAQEax7dw
4BqXFRKCzm0,UC_nGEYgqzTuyFbHCZELMC2w
4CIjiNM_p6M,UC8qBrdamqYihT_xWo-zyo-A
4CWM57UvhyY,UCt9BTGSxATM6axwfTY4KnEg
4DEqwJI-vdg,UCdJAmuo-KkgcJvSoQjPxAWg
4EYek0OwN6A,UC6tTTsFKifxEhOIMI2HtLeQ
4Fge8RG2zYU,UCAUgY9e_n2DhyZTgvPRoJnQ
4GFvezk9DtE,UCKMU-I4eYw-D9QF1YdUMUlw
4IoOQ21A-00,UCL9u5oNnY_pRyzt-UaP5JuQ
4JPhkSR2-DI,UCryJ4vhASeu7uhXRPOL3WhA
4JyhBkXMymo,UCRzPUBhXUZHclB7B5bURFXw
4OOvPe3jNTU,UCKLlmM881k4QZN-iUAFIQfw
4OSt6WQ2K8A,UC1712XEXMIRQW1-spPVK0Ng
4OTAXBjCb10,UC5DAs9Xn2fCnn37tTOUAClQ
4OiOwDh5lKE,UC_hN8xs99S6jnMdYCuJgoJA
4OzEgHVD5PA,UCaLfMkkHhSA_LaCta0BzyhQ
4QJa07djrLY,UCHza0GAxOvBOeLKkMeL8EcQ
4QMHfDx_LpM,UCi9mzS8H-ez_30w5SCL2dmw
4Qb0n_NHZzE,UC9HiNy95qeyWUarzHO9sk8A
4RRAgEb5r7Q,UCu56J-caWbTVL_b_3E-Q3cQ
4SOtYIJpO3w,UCe3PDv7F4Uex3ii9zdMbvWQ
4TCZPEO58kw,UCqdBWKP4_8bU-Rsk2LvVz6Q
4TcUHcCj6To,UCnHKzekTY6npfEYHPRz5bJQ
4V8ShzEyamY,UC7yK84cgpIy9iRjk1uoM8WA
4VT_EhS1IT4,UC5srj0Tgfq-FuFyk9HFl0Rw
4W9lohe4EYM,UCt9BTGSxATM6axwfTY4KnEg
4WQ17A_DBWs,UCsfUASBEZR8ABdma0ee8Zbg
4YxAhOFHLxs,UCbPHHOiOY_tA9BSytK0jDYw
4ZlCwZj90Jk,UCuz8KBA9YP2JpaHorBVTp7Q
4cCKve0dl3Y,UC3PVtkwtqwCD4LEPguBEADA
4crqlin_s-I,UCi9mzS8H-ez_30w5SCL2dmw
4cuRBOi9SGw,UCdkq517IaeUcnG5CIiFX9RA
4gZVxxSeAn0,UCbfLaTfmCeR2aykiRSGBbTQ
4giM0wycDw8,UCSjiVW9NV-mcJJ1t6RbMh7A
4gjvGsxiTw0,UCmeJjgzpnN4OIZg4a9JJo1w
4j_8rEyYEXw,UCpko_-a4wgz2u_DgDgd9fqA
4kXOQ2NOkxY,UCwtnkRZcvL4bfopzJ-Von8Q
4l2eIDF9HZA,UC_hN8xs99S6jnMdYCuJgoJA
4rnqHPcMQ0s,UCEjpHDkceZ2lYjnI54t9fmg
4tDgX4VizyU,UCaNjRBHCKnvqWKM22wg0ItA
4uooe-9JKLI,UCHEf6T_gVq4tlW5i91ESiWg
4vieXVa4f2M,UCiXAAaqS9py7TzHzQ9A5Ftg
4wY_xiZrl1I,UCqz1WM1LPEP_nkMMYeEyBVQ
4y2_UjQ9ZwM,UCfot-hD35IfUqXC9JXcVatg
4yZRAaXGagI,UChSsQPO1BNzgvup-VcmUeow
4zzhCbQE5iQ,UC8lVqk3EQ1wiUeyOMD24N7g
5-9kuktuMAY,UCV2Ge_U5k5tSxmCFt4DjvxA
5-DQpJj2j9s,UCo57S0HBediNd47Ew5ezkzw
5-nceCopalU,UCO5Jeark1e_JP36mY3ua19g
50pNiKZZwUM,UCO5Jeark1e_JP36mY3ua19g
51WJrV0aKPs,UCy9L3Ym1fZqmdaToxy9HsbQ
53xojRfttn8,UCe5wLGScEw2VUiDP-zdBzpw
543Un3Rjabg,UCPAz3hWHiBC-c1x4K0-atsg
56_MEV8ClLg,UCO-BUJCM03NS-rwr1VonV4A
57TY0y5zpe0,UCMHRM06tR8Sa-Hj3yT_k8fQ
57xXQjC83zA,UCt9BTGSxATM6axwfTY4KnEg
58UzixzNCh4,UCnSDZWM7akmbgbwdECSPpow
59ruWusoMsY,UCmA6EnjVC-jnOgkWiM80P8w
5ABdJMdZX_s,UCqlthGjbLIci7i3x2gk8P4Q
5AxdLyBlvhw,UCyV4yaPg3P2UMzFLo29tjsQ
5FDFwEO5ErM,UCTPxMCyJyYGF6H0eBhOvgsA
5FZmGUIqDxU,UCaAjLj9oGV6VKMYq8FxEwdQ
5JAvzI-ZP14,UCHKoUFkbdX2LnWXGcbkC3jA
5KQH4Xvco4c,UCsfUASBEZR8ABdma0ee8Zbg
5Khf5QBf0ss,UCMY6vXA3cYbUuSf4zYmTwIQ
5Kiy94DYJk0,UClMlXTxpTNMZRE4AEjlc5RA
5LW1VDVgr6k,UCBQjTfMEcxMlI49KCQAHwYQ
5N6hNyg43IY,UCT99PQ5nkgshVaoBlU5jiKw
5OsH70IAD1A,UC3PVtkwtqwCD4LEPguBEADA
5PS7JlDoeAM,UCV34zLTn4A60jS8RTI96_sw
5PT1wLx87UE,UCOqlhTOx-5tdP0Krafwz_Zg
5Puy1Px2YYc,UCobYD8WgP3GPOqgvXF2Yy1w
5QZTR7ZdeRQ,UCCb-6a1Fakv4QzwC2c-3vAg
5VUN3h-yq6M,UCi9mzS8H-ez_30w5SCL2dmw
5VXiVRQIFLs,UC-RAAkufDt0YRpqA3tYifyw
5XCy01h0N3w,UCz908wM1diz61piCNbQprJw
5bnWQLbGuKc,UCAUgY9e_n2DhyZTgvPRoJnQ
5coE3hlNJ3I,UCjhsXdie9x6uzw9ARmF4nNA
